county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Lee County,Arkansas,10374,10270,10153,9969,9787,9650
Lincoln County,Arkansas,14074,14332,14147,14029,13982,13820
Little River County,Arkansas,13137,12955,12910,12734,12531,12472
Logan County,Arkansas,22315,22285,22007,22078,21919,21714
Lonoke County,Arkansas,68711,69437,70102,70783,71488,71645
Madison County,Arkansas,15693,15689,15631,15701,15722,15767
Marion County,Arkansas,16660,16652,16613,16440,16401,16185
Miller County,Arkansas,43540,43746,43637,43430,43537,43908
Mississippi County,Arkansas,46389,46039,45550,44711,44282,43738
Monroe County,Arkansas,8123,8065,7838,7663,7598,7399
Montgomery County,Arkansas,9491,9386,9322,9216,9089,8970
Nevada County,Arkansas,8974,9008,8908,8788,8703,8558
Newton County,Arkansas,8329,8277,8086,8076,7910,7913
Ouachita County,Arkansas,26076,25718,25393,24960,24789,24358
Perry County,Arkansas,10455,10394,10336,10340,10239,10189
Phillips County,Arkansas,21668,21401,20753,20388,19901,19513
Pike County,Arkansas,11271,11236,11263,11116,10995,10824
Poinsett County,Arkansas,24524,24431,24279,24150,24150,24040
Polk County,Arkansas,20668,20561,20437,20353,20254,20216
Pope County,Arkansas,62108,62629,62601,62483,63047,63390
Prairie County,Arkansas,8715,8579,8460,8366,8315,8291
Pulaski County,Arkansas,383628,386827,388984,391352,392490,392664
Randolph County,Arkansas,17966,17977,17854,17624,17550,17469
St. Francis County,Arkansas,28182,27961,27898,27300,26977,26589
Saline County,Arkansas,107675,109918,111755,114284,115750,117460
Scott County,Arkansas,11270,11244,11007,10905,10683,10513
Searcy County,Arkansas,8180,8069,7991,7981,7916,7869
Sebastian County,Arkansas,125784,126916,127453,127225,126990,127780
Sevier County,Arkansas,17141,17176,17168,17317,17388,17290
Sharp County,Arkansas,17279,17277,17066,17098,16923,16912
Stone County,Arkansas,12393,12558,12604,12490,12450,12456
Union County,Arkansas,41556,41358,40868,40620,40175,40144
Van Buren County,Arkansas,17307,17199,17168,16994,16880,16771
Washington County,Arkansas,204026,207882,211637,216480,220682,225477
White County,Arkansas,77333,78133,78680,78685,78643,79161
Woodruff County,Arkansas,7240,7189,7066,7037,6884,6741
Yell County,Arkansas,22155,21939,21809,21797,21916,21713
Alameda County,California,1513754,1533052,1556952,1583845,1612850,1638215
Alpine County,California,1159,1111,1126,1144,1107,1110
Amador County,California,37873,37538,37099,36591,36744,37001
Butte County,California,219977,220019,221205,222154,224033,225411
Calaveras County,California,45464,45101,44755,44574,44575,44828
Colusa County,California,21446,21389,21370,21389,21351,21482
Contra Costa County,California,1052921,1066636,1079290,1095959,1111710,1126745
Del Norte County,California,28566,28468,28201,27821,27194,27254
El Dorado County,California,181148,180905,180579,181480,183050,184452
Fresno County,California,932462,940971,947713,955217,964983,974861
Glenn County,California,28110,28199,27955,27943,28030,28017
Humboldt County,California,135026,135267,134703,134640,134831,135727
Imperial County,California,174750,176372,177557,177579,179332,180191
Inyo County,California,18513,18399,18405,18403,18396,18260
Kern County,California,841682,849949,856576,865787,874190,882176
Kings County,California,152367,151969,151201,150748,150108,150965
Lake County,California,64744,64264,63974,63803,64156,64591
Lassen County,California,34839,34298,33674,32176,31732,31345
Los Angeles County,California,9826009,9896602,9970436,10045175,10109436,10170292
Madera County,California,151125,152089,152160,152125,154562,154998
Marin County,California,252903,255403,256021,258552,260550,261221
Mariposa County,California,18260,18191,17855,17734,17636,17531
Mendocino County,California,87811,87495,87522,87373,87683,87649
Merced County,California,256832,259784,261788,263312,266087,268455
Modoc County,California,9697,9497,9333,9110,9015,8965
Mono County,California,14246,14405,14322,14037,14057,13909
Monterey County,California,416413,421466,426441,429109,431293,433898
Napa County,California,136810,137998,139055,140413,141551,142456
Nevada County,California,98777,98779,98288,98142,98763,98877
Orange County,California,3017866,3056084,3089343,3120180,3144961,3169776
Placer County,California,350234,356832,361215,366858,371105,375391
Plumas County,California,19918,19684,19326,18841,18570,18409
Riverside County,California,2202286,2237433,2267556,2295816,2328329,2361026
Sacramento County,California,1422010,1435548,1448466,1462338,1481474,1501335
San Benito County,California,55557,56197,56885,57605,58308,58792
San Bernardino County,California,2041642,2064200,2079526,2091599,2110386,2128133
San Diego County,California,3104386,3142256,3184358,3223645,3265700,3299521
San Francisco County,California,805813,816231,829517,840715,852537,864816
San Joaquin County,California,687442,695432,701464,704654,715114,726106
San Luis Obispo County,California,269905,271208,274552,276308,279116,281401
San Mateo County,California,719973,729435,740645,750109,758333,765135
Santa Barbara County,California,424379,426131,430873,436248,441228,444769
Santa Clara County,California,1786844,1814205,1841318,1871140,1896040,1918044
Santa Cruz County,California,263266,264971,266597,269277,271401,274146
Shasta County,California,177317,177969,178421,179041,179747,179533
Sierra County,California,3221,3105,3075,3035,2979,2967
Siskiyou County,California,44940,44672,44148,43635,43465,43554
Solano County,California,414062,416754,420360,424770,430791,436092
Sonoma County,California,484791,487778,490746,495046,499674,502146
Stanislaus County,California,515334,518282,522097,526119,531951,538388
Sutter County,California,94802,94659,94479,95032,95604,96463
Tehama County,California,63593,63285,63222,62984,62961,63308
Trinity County,California,13764,13723,13508,13436,13128,13069
Tulare County,California,443081,447615,451218,454208,457260,459863
Tuolumne County,California,55185,54746,54129,53940,53872,53709
Ventura County,California,825298,831130,835416,840964,846119,850536
Yolo County,California,201129,202283,205093,206958,209250,213016
Yuba County,California,72357,72570,72946,73292,73883,74492
Adams County,Colorado,443680,452204,460728,470590,481169,491337
Alamosa County,Colorado,15926,16127,16136,16266,16318,16496
Arapahoe County,Colorado,574727,586033,596383,608403,619634,631096
Archuleta County,Colorado,12056,12010,12114,12184,12210,12352
Baca County,Colorado,3790,3810,3763,3682,3635,3615
Bent County,Colorado,6509,6325,5812,5736,5773,5830
Boulder County,Colorado,295986,300671,305548,310706,313864,319372
Broomfield County,Colorado,56271,57445,58949,60163,61875,65065
Chaffee County,Colorado,17803,18007,18104,18315,18459,18658
Cheyenne County,Colorado,1831,1864,1879,1889,1854,1829
Clear Creek County,Colorado,9083,9056,9070,9080,9171,9303
Conejos County,Colorado,8292,8316,8277,8254,8268,8130
Costilla County,Colorado,3527,3645,3601,3523,3552,3584
Crowley County,Colorado,5853,5843,5416,5322,5613,5562
Custer County,Colorado,4275,4223,4240,4262,4347,4445
Delta County,Colorado,30878,30379,30444,30315,29955,29979
Denver County,Colorado,603300,619374,633976,648411,663963,682545
Dolores County,Colorado,2065,2031,1993,2028,1975,1978
Douglas County,Colorado,286964,292593,298673,306368,314850,322387
Eagle County,Colorado,52085,51772,51991,52484,53026,53605
Elbert County,Colorado,23095,23267,23412,23690,24170,24735
El Paso County,Colorado,626916,636946,645678,655150,662874,674471
Fremont County,Colorado,46857,47420,47111,46441,46381,46692
Garfield County,Colorado,56094,56005,56770,57066,57443,58095
Gilpin County,Colorado,5461,5445,5455,5573,5722,5828
Grand County,Colorado,14783,14544,14156,14264,14477,14615
Gunnison County,Colorado,15379,15459,15475,15525,15727,16067
Hinsdale County,Colorado,844,827,798,808,781,774
Huerfano County,Colorado,6668,6516,6583,6488,6433,6492
Jackson County,Colorado,1385,1383,1349,1358,1395,1356
Jefferson County,Colorado,535625,539607,545817,551731,559042,565524
Kiowa County,Colorado,1396,1457,1438,1419,1411,1423
Kit Carson County,Colorado,8247,8200,8104,8025,7813,7758
Lake County,Colorado,7267,7378,7283,7298,7367,7485
La Plata County,Colorado,51371,51786,52307,53277,53850,54688
Larimer County,Colorado,300524,305314,310970,316618,324657,333577
Las Animas County,Colorado,15394,15024,14961,14399,14071,14058
Lincoln County,Colorado,5469,5434,5441,5433,5508,5557
Logan County,Colorado,22130,22107,21869,21676,21954,22036
Mesa County,Colorado,146489,147372,147720,147676,147890,148513
Mineral County,Colorado,704,711,710,721,695,726
Moffat County,Colorado,13812,13427,13174,13116,12932,12937
Montezuma County,Colorado,25548,25453,25427,25652,25799,26168
Montrose County,Colorado,41194,40905,40705,40685,40832,40946
Morgan County,Colorado,28172,28514,28344,28332,28246,28360
Otero County,Colorado,18883,18864,18687,18535,18430,18343
Ouray County,Colorado,4466,4455,4550,4578,4625,4691
Park County,Colorado,16262,16080,16019,16077,16260,16510
Phillips County,Colorado,4463,4373,4384,4359,4391,4349
Pitkin County,Colorado,17156,17127,17225,17360,17599,17787
Prowers County,Colorado,12562,12497,12397,12278,12049,11954
Pueblo County,Colorado,159520,160187,160816,161240,161759,163591
Rio Blanco County,Colorado,6669,6778,6790,6742,6681,6571
Rio Grande County,Colorado,12018,11923,11895,11751,11611,11543
Routt County,Colorado,23450,23256,23240,23489,23917,24130
Saguache County,Colorado,6136,6190,6319,6229,6199,6251
San Juan County,Colorado,708,697,695,699,719,701
San Miguel County,Colorado,7359,7480,7584,7654,7782,7879
Sedgwick County,Colorado,2370,2373,2374,2346,2334,2399
Summit County,Colorado,28065,27965,28245,28783,29451,30257
Teller County,Colorado,23450,23330,23373,23234,23378,23385
Washington County,Colorado,4801,4809,4737,4778,4786,4864
Weld County,Colorado,254166,258704,264117,270368,276379,285174
Yuma County,Colorado,10025,10163,10130,10230,10257,10146
Fairfield County,Connecticut,919744,929013,935238,941793,945816,948053
Hartford County,Connecticut,895303,896928,897149,897926,896871,895841
Litchfield County,Connecticut,189773,188945,187455,186609,184910,183603
Middlesex County,Connecticut,165628,166198,165508,165301,164757,164063
New Haven County,Connecticut,863401,863977,863921,862515,861238,859470
New London County,Connecticut,274067,273211,274394,273716,272743,271863
Tolland County,Connecticut,153208,153069,151934,151722,151597,151420
Windham County,Connecticut,118593,118418,117942,117586,116830,116573
Kent County,Delaware,162990,165242,167611,169385,171773,173533
New Castle County,Delaware,538911,542349,546211,549529,553347,556779
Sussex County,Delaware,197890,200325,203277,206439,210848,215622
District of Columbia,District of Columbia,605126,620472,635342,649540,659836,672228
Alachua County,Florida,247625,249688,251669,253252,256518,259964
Baker County,Florida,27076,27076,27052,26991,27135,27420
Bay County,Florida,169247,169647,171920,174859,178703,181635
Bradford County,Florida,28539,28477,27133,26895,26681,26928
Brevard County,Florida,543966,544323,547495,551148,556902,568088
Broward County,Florida,1753263,1787582,1818491,1843583,1869679,1896425
Calhoun County,Florida,14632,14766,14706,14632,14511,14462
Charlotte County,Florida,159947,159641,162831,164892,168437,173115
Citrus County,Florida,141266,139755,139256,138985,139217,141058
Clay County,Florida,191436,192340,194341,196559,199876,203967
Collier County,Florida,322683,327742,332515,339537,348355,357305
Columbia County,Florida,67571,67307,67911,67542,67923,68348
DeSoto County,Florida,34921,34671,34808,34692,35157,35458
Dixie County,Florida,16402,16349,16060,15946,15897,16203
Duval County,Florida,865785,872455,880959,887586,899353,913010
Escambia County,Florida,298165,299653,304191,307753,309034,311003
Flagler County,Florida,96078,97349,98580,100035,102561,105392
Franklin County,Florida,11535,11495,11629,11556,11699,11761
Gadsden County,Florida,47792,47325,46560,46053,46147,46036
Gilchrist County,Florida,16994,16986,16878,16921,16977,17199
Glades County,Florida,12938,13134,12978,13098,13479,13670
Gulf County,Florida,15814,15665,15669,15790,15932,15871
Hamilton County,Florida,14672,14598,14708,14324,14051,14295
Hardee County,Florida,27738,27645,27391,27362,27441,27502
Hendry County,Florida,39040,38820,37671,37730,38476,39119
Hernando County,Florida,172970,172838,173047,174016,175704,178439
Highlands County,Florida,98665,98284,97998,97762,98104,99491
Hillsborough County,Florida,1233831,1271399,1281606,1294039,1318325,1349050
Holmes County,Florida,19859,19823,19730,19648,19650,19324
Indian River County,Florida,138233,138979,140640,142021,144772,147919
Jackson County,Florida,49616,49121,48977,49006,48796,48599
Jefferson County,Florida,14747,14497,14196,14182,14035,14081
Lafayette County,Florida,8814,8818,8813,8854,8859,8663
Lake County,Florida,297847,299811,303372,308010,315736,325875
Lee County,Florida,620532,631368,644865,660929,679233,701982
Leon County,Florida,276042,278307,283849,282209,284064,286272
Levy County,Florida,40721,40243,39938,39582,39508,39832
Liberty County,Florida,8339,8227,8244,8308,8363,8331
Madison County,Florida,19231,19092,18915,18711,18521,18408
Manatee County,Florida,323429,327320,333954,342229,351771,363369
Marion County,Florida,331421,332272,334094,335688,338749,343254
Martin County,Florida,146979,147647,148913,151550,153538,156283
Miami-Dade County,Florida,2508171,2580077,2611183,2641928,2668903,2693117
Monroe County,Florida,73213,74067,74835,76265,76858,77482
Nassau County,Florida,73528,74142,74616,75599,76597,78444
Okaloosa County,Florida,180757,183208,190207,193458,195650,198664
Okeechobee County,Florida,40027,39424,39260,39006,39114,39469
Orange County,Florida,1148823,1170461,1202506,1227607,1256495,1288126
Osceola County,Florida,269825,278903,289363,300124,311965,323993
Palm Beach County,Florida,1324171,1338500,1358396,1375826,1398518,1422789
Pasco County,Florida,465474,466523,470618,475751,485640,497909
Pinellas County,Florida,916440,917730,921999,929683,938144,949827
Polk County,Florida,603192,609544,615584,622895,635264,650092
Putnam County,Florida,74238,73912,73065,72442,72040,72023
St. Johns County,Florida,191258,196019,202241,209532,218043,226640
St. Lucie County,Florida,278264,280764,283525,286223,290957,298563
Santa Rosa County,Florida,152953,155719,158374,160726,163244,167040
Sarasota County,Florida,379937,381485,386028,390105,397024,405549
Seminole County,Florida,423070,427037,431360,436654,442533,449144
Sumter County,Florida,94279,98581,102781,108253,114000,118891
Suwannee County,Florida,42315,43334,43480,43584,43818,43760
Taylor County,Florida,22573,22682,22748,22898,22603,22493
Union County,Florida,15534,15235,15238,15081,15168,15234
Volusia County,Florida,494610,494489,497123,501367,507729,517887
Wakulla County,Florida,30835,30938,30804,30965,31399,31535
Walton County,Florida,55248,55642,57299,59425,61559,63508
Washington County,Florida,24754,24582,24835,24605,24435,24687
Appling County,Georgia,18328,18440,18366,18349,18477,18454
Atkinson County,Georgia,8360,8358,8240,8272,8203,8398
Bacon County,Georgia,11082,11188,11179,11198,11248,11299
Baker County,Georgia,3435,3317,3367,3324,3274,3180
Baldwin County,Georgia,45702,45096,46458,46138,45822,45459
Banks County,Georgia,18409,18336,18235,18299,18313,18495
Barrow County,Georgia,69692,69869,70197,71435,73190,75370
Bartow County,Georgia,100139,100292,100525,101322,101795,102747
Ben Hill County,Georgia,17633,17590,17532,17445,17417,17403
Berrien County,Georgia,19342,19348,19074,18993,18717,18963
Bibb County,Georgia,155586,155763,156123,154553,153918,153721
Bleckley County,Georgia,13041,13053,12903,12739,12794,12243
Brantley County,Georgia,18456,18570,18541,18284,18408,18455
Brooks County,Georgia,16263,15954,15526,15627,15421,15658
Bryan County,Georgia,30403,31254,32284,33158,33921,35137
Bulloch County,Georgia,70639,72853,72853,71358,72217,72651
Burke County,Georgia,23341,23545,23115,22918,22714,22745
Butts County,Georgia,23742,23564,23458,23214,23394,23593
Calhoun County,Georgia,6704,6537,6487,6512,6431,6479
Camden County,Georgia,50670,50312,51368,51469,51973,52102
Candler County,Georgia,11025,11312,11135,10942,10879,10886
Carroll County,Georgia,110698,110691,111408,112331,113999,114545
Catoosa County,Georgia,64038,64873,65012,65343,65598,66050
Charlton County,Georgia,12837,13422,13320,13056,12886,12965
Chatham County,Georgia,265896,271866,276536,278105,282989,286956
Chattahoochee County,Georgia,11178,11309,12598,12396,11898,11368
Chattooga County,Georgia,25958,25678,25639,25073,24892,24922
Cherokee County,Georgia,215195,217716,220779,224603,230720,235900
Clarke County,Georgia,117469,118462,120217,121121,120814,123912
Clay County,Georgia,3161,3150,3101,3032,3097,3141
Clayton County,Georgia,259797,262685,266338,265021,268172,273955
Clinch County,Georgia,6780,6745,6714,6787,6816,6893
Cobb County,Georgia,689676,697534,707846,717935,731018,741334
Coffee County,Georgia,42723,42955,43081,43078,42793,43108
Colquitt County,Georgia,45641,45811,46107,46307,46051,45844
Columbia County,Georgia,124985,128773,132575,136278,139343,144052
Cook County,Georgia,17207,16966,16849,17020,17204,17124
Coweta County,Georgia,127901,129392,130762,133089,135410,138427
Crawford County,Georgia,12614,12639,12659,12539,12472,12388
Crisp County,Georgia,23404,23790,23670,23242,22988,22881
Dade County,Georgia,16612,16578,16539,16481,16364,16264
Dawson County,Georgia,22288,22202,22365,22589,22896,23312
Decatur County,Georgia,27808,27652,27455,27369,27239,27174
DeKalb County,Georgia,692485,698096,708640,715824,724222,734871
Dodge County,Georgia,21770,21442,21336,21249,20992,20882
Dooly County,Georgia,14845,14557,14343,14325,14203,14035
Dougherty County,Georgia,94564,94889,94587,93225,92515,91332
Douglas County,Georgia,132644,133232,133810,136360,138466,140733
Early County,Georgia,10966,10744,10608,10509,10458,10575
Echols County,Georgia,4031,4117,3993,4038,4054,4040
Effingham County,Georgia,52452,52699,53383,54513,55447,57106
Elbert County,Georgia,20096,19818,19584,19507,19413,19364
Emanuel County,Georgia,22608,22581,22847,22808,22710,22708
Evans County,Georgia,11009,10968,10661,10791,10864,10787
Fannin County,Georgia,23687,23508,23468,23719,23713,24303
Fayette County,Georgia,106993,107207,107411,108295,109648,110714
Floyd County,Georgia,96415,96208,96034,96039,96061,96504
Forsyth County,Georgia,176760,182341,187628,194891,203882,212438
Franklin County,Georgia,22074,21980,21944,22064,22250,22311
Fulton County,Georgia,926038,950233,977816,984440,996463,1010562
Gilmer County,Georgia,28315,28280,28213,28607,28866,29400
Glascock County,Georgia,3069,3115,3129,3079,3046,3065
Glynn County,Georgia,79790,80215,80985,81592,82343,83579
Gordon County,Georgia,55207,55490,55703,55763,55917,56574
Grady County,Georgia,25047,25160,25346,25194,25308,25205
Greene County,Georgia,16000,16069,16141,16262,16474,16710
Gwinnett County,Georgia,808274,824790,839758,858071,877726,895823
Habersham County,Georgia,43080,43107,43479,43300,43753,43996
Hall County,Georgia,180003,182920,185012,187588,190525,193535
Hancock County,Georgia,9420,9379,9042,8913,8519,8551
Haralson County,Georgia,28782,28511,28381,28463,28615,28854
Harris County,Georgia,32157,32359,32607,32658,32873,33381
Hart County,Georgia,25209,25462,25574,25510,25412,25534
Heard County,Georgia,11858,11719,11655,11566,11606,11539
Henry County,Georgia,205142,207007,208391,210687,213738,217739
Houston County,Georgia,140746,144227,146299,148064,149228,150033
Irwin County,Georgia,9600,9694,9604,9405,9091,9245
Jackson County,Georgia,60749,60522,60456,60916,61848,63360
Jasper County,Georgia,13883,13772,13590,13530,13440,13635
Jeff Davis County,Georgia,15092,15088,15113,14966,14862,14920
Jefferson County,Georgia,16905,16799,16403,16326,16237,16106
Jenkins County,Georgia,8326,8126,9135,9262,9129,8957
Johnson County,Georgia,9981,9929,9892,9787,9707,9656
Jones County,Georgia,28634,28890,28774,28741,28791,28494
Lamar County,Georgia,18270,18180,18040,17939,18212,18201
Lanier County,Georgia,10099,10470,10448,10396,10390,10312
Laurens County,Georgia,48403,48017,47986,47921,47777,47731
Lee County,Georgia,28424,28604,28719,29046,29159,29202
Liberty County,Georgia,62684,65119,65389,64020,65141,62467
Lincoln County,Georgia,7969,7876,7749,7697,7603,7673
Long County,Georgia,14685,15246,16161,16628,17176,17731
Lowndes County,Georgia,109689,111928,114759,112898,113563,112865
Lumpkin County,Georgia,30301,30476,30707,30872,31141,31408
McDuffie County,Georgia,21830,21632,21655,21549,21535,21540
